sehir,tarih,aylik_ortalama_ecopulse
Amasya,2021-01,59.28
Amasya,2021-03,59.9
Amasya,2021-04,49.74
Amasya,2021-05,52.38
Amasya,2021-06,57.73
Amasya,2021-07,49.3
Amasya,2021-08,50.2
Amasya,2021-09,51.2
Amasya,2021-10,55.54
Amasya,2021-11,58.09
Amasya,2021-12,55.12
Amasya,2022-04,50.25
Amasya,2022-05,54.07
Amasya,2022-06,49.21
Amasya,2022-07,55.14
Amasya,2022-08,48.83
Amasya,2022-09,51.66
Amasya,2022-10,51.37
Amasya,2022-11,56.94
Amasya,2022-12,57.19
Amasya,2023-01,59.44
Amasya,2023-03,54.5
Amasya,2023-06,50.4
Amasya,2023-07,51.75
Amasya,2023-08,46.43
Amasya,2023-09,48.58
Amasya,2023-10,49.47
Amasya,2023-12,56.82
Amasya,2024-02,52.04
Amasya,2024-04,47.14
Amasya,2024-06,46.84
Amasya,2024-07,56.32
Amasya,2024-08,49.05
Amasya,2024-09,48.38
Amasya,2024-10,47.57
Amasya,2024-11,56.63
Amasya,2025-01,56.99
Amasya,2025-02,55.62
Amasya,2025-03,57.16
Amasya,2025-04,53.27
Amasya,2025-05,49.83
Ankara,2020-01,61.44
Ankara,2020-02,59.4
Ankara,2020-03,56.87
Ankara,2020-04,51.9
Ankara,2020-05,53.24
Ankara,2020-06,53.43
Ankara,2020-07,49.01
Ankara,2020-08,48.91
Ankara,2020-09,48.41
Ankara,2020-10,52.94
Ankara,2020-11,55.48
Ankara,2020-12,56.26
Ankara,2021-01,60.15
Ankara,2021-02,56.64
Ankara,2021-03,56.93
Ankara,2021-04,56.17
Ankara,2021-05,48.5
Ankara,2021-06,47.46
Ankara,2021-07,49.01
Ankara,2021-08,47.34
Ankara,2021-09,53.06
Ankara,2021-10,53.95
Ankara,2021-11,54.75
Ankara,2021-12,58.52
Ankara,2022-01,58.05
Ankara,2022-02,63.47
Ankara,2022-03,57.59
Ankara,2022-04,51.24
Ankara,2022-05,52.16
Ankara,2022-06,58.52
Ankara,2022-07,49.22
Ankara,2022-08,53.41
Ankara,2022-09,50.99
Ankara,2022-10,52.33
Ankara,2022-11,53.68
Ankara,2022-12,61.76
Ankara,2023-01,56.41
Ankara,2023-02,55.89
Ankara,2023-03,57.52
Ankara,2023-04,62.58
Ankara,2023-05,58.09
Ankara,2023-06,52.79
Ankara,2023-07,45.19
Ankara,2023-08,46.43
Ankara,2023-09,47.86
Ankara,2023-10,52.3
Ankara,2023-11,58.29
Ankara,2023-12,57.23
Ankara,2024-01,59.32
Ankara,2024-02,56.94
Ankara,2024-03,55.99
Ankara,2024-04,51.56
Ankara,2024-05,48.59
Ankara,2024-06,46.51
Ankara,2024-07,55.07
Ankara,2024-08,45.67
Ankara,2024-09,52.06
Ankara,2024-10,52.12
Ankara,2024-11,55.02
Ankara,2024-12,62.18
Ankara,2025-01,58.36
Ankara,2025-02,60.12
Ankara,2025-03,52.69
Ankara,2025-04,49.16
Ankara,2025-05,51.16
Antalya,2020-01,64.48
Antalya,2020-02,61.97
Antalya,2020-03,60.13
Antalya,2020-04,59.03
Antalya,2020-05,53.68
Antalya,2020-06,53.81
Antalya,2020-07,49.59
Antalya,2020-08,49.11
Antalya,2020-09,51.14
Antalya,2020-10,52.85
Antalya,2020-11,58.43
Antalya,2020-12,63.65
Antalya,2021-02,57.7
Antalya,2021-03,55.37
Antalya,2021-04,53.75
Antalya,2021-05,52.84
Antalya,2021-06,51.39
Antalya,2021-07,49.56
Antalya,2021-08,52.08
Antalya,2021-09,53.46
Antalya,2021-10,54.62
Antalya,2021-11,55.24
Antalya,2022-01,63.98
Antalya,2022-02,62.96
Antalya,2022-04,60.63
Antalya,2022-05,54.22
Antalya,2022-06,59.67
Antalya,2022-07,50.95
Antalya,2022-08,54.14
Antalya,2022-09,50.75
Antalya,2022-10,51.95
Antalya,2022-11,55.07
Antalya,2022-12,59.21
Antalya,2023-01,58.91
Antalya,2023-02,63.97
Antalya,2023-03,60.2
Antalya,2023-05,56.61
Antalya,2023-06,55.13
Antalya,2023-07,47.65
Antalya,2023-08,51.94
Antalya,2023-09,48.22
Antalya,2023-10,51.88
Antalya,2023-11,57.14
Antalya,2023-12,60.55
Antalya,2024-01,60.35
Antalya,2024-02,57.01
Antalya,2024-03,59.1
Antalya,2024-04,54.82
Antalya,2024-05,56.77
Antalya,2024-06,48.49
Antalya,2024-07,51.48
Antalya,2024-08,51.56
Antalya,2024-09,55.26
Antalya,2024-10,55.03
Antalya,2024-11,54.84
Antalya,2024-12,60.8
Antalya,2025-01,62.38
Antalya,2025-03,59.23
Antalya,2025-04,56.91
Antalya,2025-05,57.06
Ardahan,2020-02,62.68
Ardahan,2020-04,62.28
Ardahan,2020-05,57.74
Ardahan,2020-07,61.84
Ardahan,2020-08,51.8
Ardahan,2020-09,52.65
Ardahan,2020-10,52.82
Ardahan,2020-11,60.15
Ardahan,2021-04,60.3
Ardahan,2021-05,56.77
Ardahan,2021-06,47.47
Ardahan,2021-07,60.2
Ardahan,2021-08,53.96
Ardahan,2021-09,54.92
Ardahan,2021-10,55.79
Ardahan,2021-11,55.23
Ardahan,2022-05,56.87
Ardahan,2022-06,49.71
Ardahan,2022-07,58.89
Ardahan,2022-08,51.05
Ardahan,2022-09,50.9
Ardahan,2022-10,51.51
Ardahan,2022-11,55.89
Ardahan,2023-01,60.36
Ardahan,2023-05,53.24
Ardahan,2023-07,55.42
Ardahan,2023-08,55.23
Ardahan,2023-09,49.66
Ardahan,2023-10,53.98
Ardahan,2023-11,52.85
Ardahan,2024-06,57.8
Ardahan,2024-07,48.34
Ardahan,2024-08,55.7
Ardahan,2024-09,53.6
Ardahan,2024-10,53.54
Ardahan,2024-11,62.26
Ardahan,2025-03,61.08
Ardahan,2025-05,50.14
Artvin,2020-02,60.9
Artvin,2020-03,60.27
Artvin,2020-04,62.53
Artvin,2020-05,58.33
Artvin,2020-08,53.97
Artvin,2020-09,54.14
Artvin,2020-10,53.56
Artvin,2020-12,61.96
Artvin,2021-01,61.72
Artvin,2021-02,61.92
Artvin,2021-04,63.5
Artvin,2021-05,50.22
Artvin,2021-06,52.87
Artvin,2021-08,52.65
Artvin,2021-10,60.36
Artvin,2021-11,57.59
Artvin,2021-12,60.81
Artvin,2022-02,63.69
Artvin,2022-05,61.56
Artvin,2022-08,51.36
Artvin,2022-09,54.29
Artvin,2022-12,61.19
Artvin,2023-01,60.27
Artvin,2023-05,60.0
Artvin,2023-07,53.69
Artvin,2023-10,51.91
Artvin,2023-11,53.59
Artvin,2023-12,62.23
Artvin,2024-04,62.76
Artvin,2024-06,53.66
Artvin,2024-07,48.07
Artvin,2024-08,53.39
Artvin,2024-09,58.19
Artvin,2024-10,52.62
Artvin,2024-11,63.12
Artvin,2025-01,62.1
Artvin,2025-02,62.51
Artvin,2025-03,63.09
Artvin,2025-05,50.63
Aydın,2020-01,55.63
Aydın,2020-02,57.55
Aydın,2020-03,54.03
Aydın,2020-04,55.45
Aydın,2020-05,48.25
Aydın,2020-06,51.96
Aydın,2020-07,46.8
Aydın,2020-08,46.21
Aydın,2020-09,51.02
Aydın,2020-10,51.62
Aydın,2020-11,53.18
Aydın,2020-12,55.76
Aydın,2021-01,55.68
Aydın,2021-02,54.82
Aydın,2021-03,54.49
Aydın,2021-04,56.68
Aydın,2021-05,46.67
Aydın,2021-06,47.05
Aydın,2021-07,46.7
Aydın,2021-08,46.38
Aydın,2021-09,50.67
Aydın,2021-10,51.41
Aydın,2021-11,54.33
Aydın,2021-12,58.59
Aydın,2022-01,55.29
Aydın,2022-02,56.0
Aydın,2022-03,54.8
Aydın,2022-04,53.28
Aydın,2022-05,50.0
Aydın,2022-06,52.22
Aydın,2022-07,47.39
Aydın,2022-08,46.75
Aydın,2022-09,49.32
Aydın,2022-10,52.24
Aydın,2022-11,52.07
Aydın,2022-12,54.9
Aydın,2023-01,55.77
Aydın,2023-02,57.15
Aydın,2023-03,52.17
Aydın,2023-05,59.9
